smiles_std,FDA_APPROVED,CT_TOX
C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,1,0
[C@H]([C@@H]([C@@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O,1,0
C1=CC(=CC=C1C=CC2=C(C=C(C=C2)C(=[NH2+])N)O)C(=[NH2+])N,1,0
C1=CC(=CC=C1C(=[NH2+])N)OCCCCCOC2=CC=C(C=C2)C(=[NH2+])N,1,0
[N+](=O)([O-])[O-],1,0
N=O,1,0
[O-][99Tc](=O)(=O)=O,1,0
[O-]P(=O)([O-])F,1,0
[O-]S(=O)(=O)[O-],1,0
[O-]S(=O)(=S)[O-],1,0
[Se],0,1
C#CC1(CCCCC1)OC(=O)N,1,0
C#CC[NH2+][C@@H]1CCC2=CC=CC=C12,1,0
C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],1,0
C#N,1,0
[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.[Fe+4],1,0
C([C@@H]([C@@H]1C(=C(C(=O)O1)[O-])O)O)O,1,0
C([C@@H](C(=O)[O-])[NH3+])S,1,0
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,1,0
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])COS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al].O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O,1,0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)F)O)O)O,1,0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,1,0
C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,1,0
C([C@H]([C@@H]([C@H](C=O)O)O)O)O,1,0
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,1,0
C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O,1,0
C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,1,0
C(=[NH2+])(N)N,1,0
C(C(C(=O)[O-])O)(C(=O)[O-])O,1,0
C(C(C(=O)[O-])S)(C(=O)[O-])S,1,0
C(C(Cl)(Cl)Cl)OP(=O)([O-])[O-],1,0
C(C(CO)(CO)[NH3+])O,1,0
C(C(CO)O)O,1,0
C(C(CS)S)O,1,0
C(C(F)(F)F)(C(F)(F)F)(F)F,1,0
C(C(F)(F)F)(Cl)Br,1,0
C(C(F)(F)F)(OC(F)F)Cl,1,0
C(C(F)(F)F)(OC(F)F)F,1,0
C(=C(F)F)(F)F,1,0
C(C(=O)[O-])[NH3+],1,0
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,1,0
C(C(OC(F)F)(F)F)(F)Cl,1,0
C(=C/C(=O)[O-])\C(=O)[O-],1,0
C(C[C@@H](C(=O)[O-])[NH3+])C[NH+]=C(N)N,1,0
C(C[NH2+]CCNCC[NH2+]CCN)N,1,0
C(C[NH3+])C(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],1,0
C(C[NH3+])C[NH2+]CCSP(=O)([O-])[O-],1,0
C(CC(C(F)F)(C(=O)[O-])[NH3+])C[NH3+],1,0
C(CC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-])C[NH3+],1,0
C(CC(=O)[O-])C(=O)[O-],1,0
C(CC(=O)[O-])C(=O)C[NH3+],1,0
C(CC(=O)[O-])CO,1,0
C(CC(=O)N)[C@@H](C(=O)[O-])[NH3+],1,0
C(CC(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)[O-])NC(=O)CC[C@@H](C(=O)[O-])[NH3+])C(=O)NCC(=O)[O-])[C@@H](C(=O)[O-])[NH3+],1,0
C(CCC(=O)[O-])CC[NH3+],1,0
C(CCCC(=O)[O-])CCCC(=O)[O-],1,0
C(CN(CC(=O)[O-])CC(=O)[O-])[NH+](CC(=O)[O-])CC(=O)[O-],1,0
C(CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])[NH+](CC(=O)[O-])CC(=O)[O-],1,0
C(CNCC[NH2+]CCN)[NH3+],1,0
C(CO)N(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO,1,0
C(CS(=O)(=O)[O-])S,1,0
C(CS)[NH3+],1,0
C(=O)([O-])[O-],1,0
C(=O)([O-])P(=O)([O-])[O-],1,0
C(=O)(N)N,1,0
C(=O)(N)NO,1,0
C(OC(C(F)(F)F)C(F)(F)F)F,1,0
CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,1,0
C/C=C(/C(=C/C)/C1=CC=C(C=C1)O)\C2=CC=C(C=C2)O,1,0
C/C=C/C1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)[NH3+])SC1)C(=O)[O-],1,0
C/C=C\1/C(=O)N[C@H](C(=O)O[C@H]\2CC(=O)N[C@@H](C(=O)N[C@H](CSSCC/C=C2)C(=O)N1)C(C)C)C(C)C,1,0
C1(=C(N=C(C(=N1)Cl)N)N)C(=O)NC(=[NH2+])N,1,0
C1[C@@H]([C@@H]2[C@H](O1)[C@@H](CO2)O[N+](=O)[O-])O,1,0
C1[C@@H]([C@H]([C@@H]([C@H]([NH+]1CCO)CO)O)O)O,1,0
C1CC(CCC1C[NH3+])C(=O)[O-],1,0
C1[C@@H]2C[C@@H]2N([C@@H]1C#N)C(=O)[C@H](C34CC5CC(C3)CC(C5)(C4)O)[NH3+],1,0
C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)[O-],1,0
C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O)O,1,0
C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],1,0
C1[C@H](C(=O)NO1)[NH3+],1,0
C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)[O-])NC(=O)N2,1,0
C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2N=CNC3=O,1,0
C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,1,0
C1C[C@H](N(C1)C(=O)[C@H](CC2=CN=CN2)NC(=O)[C@@H]3CCC(=O)N3)C(=O)N,1,0
C1=C(NC=N1)CC[NH3+],1,0
C1=NC(=O)NC(=C1F)N,1,0
C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,1,0
C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)[O-])I)I)I)C(=O)[O-])I,1,0
C1=C(C(=CC(=C1Cl)Cl)Cl)OCC#CI,1,0
C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)[NH3+],1,0
C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F,1,0
C1=C(C(=O)NC(=O)N1)N(CCCl)CCCl,1,0
C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O,1,0
C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O,1,0
C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)I)CO)O,1,0
C1C[NH+]=C(N1)NC2=C(C=C(C=C2Cl)N)Cl,1,0
C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)[O-])I)I)C[C@@H](C(=O)[O-])[NH3+],1,0
C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)[O-])I)I)C[C@H](C(=O)[O-])[NH3+],1,0
C1=C(C=C(C(=C1NC(=O)C(=O)[O-])Cl)NC(=O)C(=O)[O-])C#N,1,0
C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,1,0
C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2],0,1
C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0,1
C1=C(N=C(S1)[NH+]=C(N)N)CSCCC(=NS(=O)(=O)N)N,1,0
C1C(O1)CCl,1,0
C1=NNC2=C1C(=O)NC=N2,1,0
C1=C2C(=C(C(=C1[131I])[O-])[131I])OC3=C(C(=C(C=C3C24C5=C(C(=C(C(=C5Cl)Cl)Cl)Cl)C(=O)O4)[131I])[O-])[131I],1,0
C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl,1,0
C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl,1,0
C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,1,0
C1C2CC3CC1CC(C2)(C3)[NH3+],1,0
C1COCC2=C3C(=CN=C21)NC(=N3)C4=NOC=C4,1,0
C1=C[NH+]=CC=C1N,1,0
C1=C(NN=C1)CC[NH3+],1,0
C1=CC(=C(C(=C1)C(=O)C2=CC=C(C=C2)Br)N)CC(=O)[O-],1,0
C1=CC(=C(C(=C1)Cl)CC(=O)NC(=[NH2+])N)Cl,1,0
C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,1,0
C1CC(=O)NC2=C1C=CC(=C2)OCCCC[NH+]3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,1,0
C1C[NH+]=C(N1)NC2=C(C=CC=C2Cl)Cl,1,0
C1=CC(=C(C(=C1)Cl)SC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)Cl,1,0
C1C2=C(C=CC(=C2Cl)Cl)NC3=[N+]1CC(=O)N3,1,0
C1C[NH+]=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,1,0
C1C[NH+]=C(N1)NC2=C(C=CC3=NSN=C32)Cl,1,0
C1=CC(=C(C=C1N=NC2=CC(=C(C=C2)[O-])C(=O)O)C(=O)O)[O-],1,0
C1=CC(=C(C=C1[C@H](C[NH3+])O)O)O,1,0
