smiles_std,freesolv
CN(C)C(=O)C1=CC=C(C=C1)OC,-11.01
CS(=O)(=O)Cl,-4.87
CC(C)C=C,1.83
CCC1=NC=CN=C1,-5.45
CCCCCCCO,-4.21
CC1=CC(=CC(=C1)O)C,-6.27
CC(C)C(C)C,2.34
CCCC(C)(C)O,-3.92
C[C@@H]1CCCC[C@@H]1C,1.58
CC[C@H](C)O,-4.62
C(Br)Br,-1.96
CC[C@H](C(C)C)O,-3.88
CCC1=CC=CC=N1,-4.33
CCCCC(=O)OCC,-2.49
C1=CC=C(C=C1)S,-2.55
CC(=CCC/C(=C\CO)/C)C,-4.78
C1CC2=CC=CC=C2C1,-1.46
CCOC1=CC=CC=C1,-2.22
C1=CC(=CC=C1O)Br,-5.85
CCCC(C)(C)C,2.88
CC(=O)OCCOC(=O)C,-6.34
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1
C1CCCC(CC1)O,-5.48
COC(=O)C1CC1,-4.1
C1=CC=C(C=C1)C#N,-4.1
CCCCC#N,-3.52
CC(C)(C)O,-4.47
CC(C)C(=O)C(C)C,-2.74
CCC=O,-3.43
CN(C)C=O,-7.81
CC1=CC=C(C=C1)C,-0.8
C=CCC=C,0.93
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,-6.78
CN(C)C(=O)C1=CC=CC=C1,-9.29
CCNCC,-4.07
CC(C)(C)C1=CC=C(C=C1)O,-5.91
CC(C)CCOC=O,-2.13
CCCCCCCCCCO,-3.64
CCC(=O)OCC,-2.68
CCCCCCCCC,3.13
CC(=O)NC,-10.0
CCCCCCCC=C,2.06
C1=CC=C2C=C(C=CC2=C1)O,-8.11
C1=CC(=C(C=C1Cl)Cl)Cl,-1.12
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62
CCCC(=O)OC,-2.83
C1=CC=C(C(=C1)C=O)O,-4.68
C1CNC1,-5.56
CCCNCCC,-3.65
C1=CC=C(C=C1)N,-5.49
C(F)(F)(F)F,3.12
CC[C@@H](C)CO,-4.42
C1=CC=C(C(=C1)O)I,-6.2
COC1=C(C(=CC=C1)OC)O,-6.96
CCC#C,-0.16
C1=CC=C(C=C1)C(F)(F)F,-0.25
NN,-9.3
CC1=CC=CC=N1,-4.63
CCNC1=NC(=NC(=N1)Cl)NCC,-10.22
C1=CC=C2C(=C1)OC3=CC(=C(C=C3O2)Cl)Cl,-3.56
CCCCCCCCN,-3.65
C1=CC=C(C(=C1)C(F)(F)F)C(F)(F)F,1.07
COC(=O)C1=CC=C(C=C1)O,-9.51
CCCCCC1=CC=CC=C1,-0.23
CC(F)F,-0.11
C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl,-16.43
C=CC=C,0.56
CN(C)C,-3.2
CCCCCC(=O)N,-9.31
CC(C)CO[N+](=O)[O-],-1.88
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)NCCO,-14.21
C(CO[N+](=O)[O-])O,-8.18
CCCCCCC(=O)C,-2.88
CN1CCNCC1,-7.77
CCN,-4.5
C1C=CC=CC=C1,-0.99
C1C2=CC=CC=C2CC3=CC=CC=C31,-3.78
CC(Cl)Cl,-0.84
COC1=CC=CC(=C1)O,-7.66
